crossings,registered,complete_used,partial_with_blocks,no_blocks,q10,q25,median,q75,q90,minimum,all_stored_minimum,minimizers
2,1,1,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,L2a1
4,1,1,0,0,0.6277186767309848,0.6277186767309848,0.6277186767309848,0.6277186767309848,0.6277186767309848,0.6277186767309848,0.6277186767309848,L4a1
5,1,1,0,0,0.7639320225002094,0.7639320225002094,0.7639320225002094,0.7639320225002094,0.7639320225002094,0.7639320225002094,0.7639320225002094,L5a1
6,6,6,0,0,0.4462032636097203,0.5859501868686352,0.7109896331232678,0.7957231997186222,1.4010668917730573,0.3263022173980586,0.3263022173980586,L6a3
7,9,9,0,0,0.21064098957658287,0.2907246405630775,0.3961245283903214,0.5107114281899202,0.6296650463060187,0.19952226516455795,0.19952226516455795,L7n2
8,29,29,0,0,0.28228910551262854,0.32731819952202057,0.430894652842586,0.5258063413896229,0.689347779704359,0.20303668249894094,0.20303668249894094,L8a14
9,83,83,0,0,0.1352075512300093,0.20591709886498838,0.2962662618473425,0.3838106385188999,0.4464720600375425,0.03925876752832025,0.03925876752832025,L9n9
10,287,287,0,0,0.08375753326739446,0.19098620670806543,0.29736420018968357,0.37621163838704097,0.47090210624422246,0.023125093067910996,0.023125093067910996,L10n32
11,1007,1007,0,0,0.06087427684690087,0.1279251089204153,0.22650545482213555,0.3052139699052203,0.3679260857672221,0.00749571045403897,0.00749571045403897,L11n71
