id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
425,L10n96,1,72,71,0.17114771623086256,10,link_research.db
426,L11a50,1,90,88,0.22420661927211646,11,link_research.db
427,L10n10,1,66,65,0.18090246298778676,10,link_research.db
428,L10n61,1,69,68,0.047105910156435726,10,link_research.db
429,L11a49,1,80,78,0.34767369881306487,11,link_research.db
430,L11a39,1,86,84,0.28588677066366125,11,link_research.db
431,L11a13,1,82,80,0.3675335442658914,11,link_research.db
432,L11a60,1,88,86,0.22209546982502548,11,link_research.db
433,L11a72,1,90,88,0.17669919875729542,11,link_research.db
434,L11a22,1,92,90,0.25616164523027174,11,link_research.db
435,L10n74,1,67,66,0.2546614197562125,10,link_research.db
436,L11a51,1,94,92,0.17691059147089738,11,link_research.db
437,L11a4,1,84,82,0.27779775386378996,11,link_research.db
438,L10n91,1,67,65,0.08277347932000147,10,link_research.db
439,L11a74,1,82,80,0.3141326964634768,11,link_research.db
440,L11a7,1,90,88,0.2573642955785659,11,link_research.db
441,L11a3,1,82,80,0.31311799085767106,11,link_research.db
442,L11a36,1,90,88,0.21407973090537225,11,link_research.db
443,L11a46,1,82,80,0.23921651172350547,11,link_research.db
444,L11a55,1,86,84,0.2734015977451965,11,link_research.db
445,L11a5,1,88,86,0.22657747470519107,11,link_research.db
446,L10n30,1,69,68,0.07096736085602337,10,link_research.db
447,L10n81,1,65,64,0.377399760216419,10,link_research.db
448,L11a33,1,92,90,0.15909713135035175,11,link_research.db
449,L11a69,1,84,82,0.30025664535420066,11,link_research.db
450,L11a70,1,84,82,0.3555584537569222,11,link_research.db
451,L11a59,1,84,82,0.3052139699052235,11,link_research.db
452,L10n94,1,57,56,0.3038898925517701,10,link_research.db
453,L11a80,1,78,76,0.23092310058484108,11,link_research.db
454,L10n111,1,66,64,0.22735719526152542,10,link_research.db
455,L11a94,1,88,86,0.22840519241311122,11,link_research.db
456,L11a24,1,84,82,0.31822735914569833,11,link_research.db
457,L11a66,1,84,82,0.22710963903146322,11,link_research.db
458,L10n101,1,66,64,0.21521113145900408,10,link_research.db
459,L11a27,1,86,84,0.26215621653211585,11,link_research.db
460,L11a92,1,84,82,0.27187824355848306,11,link_research.db
461,L11a71,1,82,80,0.21759748851991828,11,link_research.db
462,L10n50,1,71,70,0.11384063103675962,10,link_research.db
463,L11a75,1,94,92,0.19566271078687142,11,link_research.db
464,L11a89,1,88,86,0.30847944652035514,11,link_research.db
465,L11a56,1,88,86,0.1947881697834591,11,link_research.db
466,L11a1,1,82,80,0.29045899672608416,11,link_research.db
467,L11a90,1,84,82,0.30521396990521715,11,link_research.db
468,L11a23,1,84,82,0.31822735914570527,11,link_research.db
469,L11a100,1,92,90,0.175263152636235,11,link_research.db
470,L11a79,1,86,84,0.4384471871911699,11,link_research.db
471,L11a18,1,80,78,0.29701029796421186,11,link_research.db
472,L11a25,1,84,82,0.22628166154944496,11,link_research.db
473,L10n70,1,69,68,0.15176920011235143,10,link_research.db
474,L11a8,1,80,78,0.41033571655394807,11,link_research.db
475,L11a112,1,86,84,0.18662899557087423,11,link_research.db
476,L11a42,1,88,86,0.2759554663149493,11,link_research.db
477,L11a110,1,84,82,0.09973034437767468,11,link_research.db
478,L11a44,1,76,74,0.43844718719116993,11,link_research.db
479,L11a53,1,84,82,0.2023125533745669,11,link_research.db
480,L11a86,1,88,86,0.254787155025052,11,link_research.db
481,L11a114,1,90,88,0.23944356742425532,11,link_research.db
482,L11a91,1,82,80,0.2639575975732801,11,link_research.db
483,L11a47,1,84,82,0.23500618697224632,11,link_research.db
484,L11a109,1,88,86,0.32179703417968747,11,link_research.db
485,L10n90,1,67,66,0.11623548008422326,10,link_research.db
486,L11a38,1,84,82,0.2851866024091025,11,link_research.db
487,L11a28,1,82,80,0.36506610303164927,11,link_research.db
488,L11a76,1,80,78,0.2455473233452741,11,link_research.db
489,L11a43,1,88,86,0.23560501926630115,11,link_research.db
490,L11a21,1,82,80,0.23306439751463176,11,link_research.db
491,L11a99,1,88,86,0.26130104387487535,11,link_research.db
492,L11a45,1,82,80,0.3459113702665846,11,link_research.db
493,L11a95,1,84,82,0.3788768345067214,11,link_research.db
494,L11a64,1,88,86,0.1625361534449119,11,link_research.db
495,L11a132,1,92,90,0.12140825529866639,11,link_research.db
496,L11a111,1,92,90,0.13296748777562153,11,link_research.db
497,L11a120,1,80,78,0.25398794863138613,11,link_research.db
498,L11a106,1,88,86,0.35114824258420674,11,link_research.db
499,L10n110,1,70,69,0.18886003720391178,10,link_research.db
500,L11a73,1,90,88,0.2643120144450624,11,link_research.db
501,L11a134,1,80,78,0.21685598543526285,11,link_research.db
502,L11a48,1,84,82,0.23939339976968235,11,link_research.db
503,L11a62,1,86,84,0.25057923138742194,11,link_research.db
504,L11a67,1,80,78,0.3631497621144807,11,link_research.db
505,L11a129,1,90,88,0.20908375853190972,11,link_research.db
506,L11a65,1,90,88,0.23944356742426043,11,link_research.db
507,L11a58,1,82,80,0.3841829576608146,11,link_research.db
508,L11a17,1,90,88,0.2554038785974551,11,link_research.db
509,L11a119,1,88,86,0.25911248169321166,11,link_research.db
510,L11a130,1,84,82,0.3034385549569579,11,link_research.db
511,L11a115,1,86,84,0.23560501926628985,11,link_research.db
512,L11a63,1,80,78,0.16235366974198323,11,link_research.db
513,L11a41,1,80,78,0.44648439550736674,11,link_research.db
514,L11a126,1,88,86,0.24509355790756163,11,link_research.db
515,L11a68,1,88,86,0.27218745604566963,11,link_research.db
516,L11a93,1,84,82,0.22628166154944362,11,link_research.db
517,L11a87,1,80,78,0.3285469549112252,11,link_research.db
518,L11a154,1,92,90,0.254237446219376,11,link_research.db
519,L11a84,1,86,84,0.30761664232586755,11,link_research.db
520,L11a96,1,90,88,0.20440599614735802,11,link_research.db
521,L11a140,1,80,78,0.5070366337799379,11,link_research.db
522,L11a131,1,94,92,0.17459625804654108,11,link_research.db
523,L11a82,1,86,84,0.3554551240076066,11,link_research.db
524,L11a139,1,82,80,0.4583894951028234,11,link_research.db
525,L11a150,1,80,78,0.4768862915341572,11,link_research.db
526,L11a135,1,84,82,0.33020773658706076,11,link_research.db
527,L11a149,1,88,86,0.2749231706872546,11,link_research.db
528,L11a78,1,80,78,0.32854695491123875,11,link_research.db
529,L11a37,1,88,86,0.1462725418204896,11,link_research.db
530,L11a85,1,88,86,0.18521518416964086,11,link_research.db
531,L11a107,1,94,92,0.17088289297642378,11,link_research.db
532,L11a83,1,86,84,0.25536953455716016,11,link_research.db
533,L11a146,1,94,92,0.20146613171443292,11,link_research.db
534,L11a61,1,86,84,0.29927727602366555,11,link_research.db
535,L11a152,1,88,86,0.3270557979765937,11,link_research.db
536,L11a88,1,90,88,0.2561616452302374,11,link_research.db
537,L11a170,1,82,80,0.31998609547590356,11,link_research.db
538,L11a160,1,86,84,0.3818386627861088,11,link_research.db
539,L11a102,1,86,84,0.1952026201843825,11,link_research.db
540,L11a174,1,90,88,0.22650545482213555,11,link_research.db
541,L11a113,1,84,82,0.34962276835619277,11,link_research.db
542,L11a104,1,84,82,0.2536757628402798,11,link_research.db
543,L11a151,1,88,86,0.3270557979765599,11,link_research.db
544,L11a116,1,84,82,0.22268501289306167,11,link_research.db
545,L11a159,1,84,82,0.27681340117702036,11,link_research.db
546,L11a155,1,88,86,0.23869274456232917,11,link_research.db
547,L11a98,1,80,78,0.19079706302446145,11,link_research.db
548,L11a169,1,88,86,0.26851107749170583,11,link_research.db
549,L11a180,1,80,78,0.4630263586715747,11,link_research.db
550,L11a190,1,86,84,0.21643395522311665,11,link_research.db
551,L11a172,1,88,86,0.20086143276701116,11,link_research.db
552,L11a133,1,84,82,0.2803805621097689,11,link_research.db
553,L11a57,1,80,78,0.29701029796420864,11,link_research.db
554,L11a171,1,78,76,0.4551680761751316,11,link_research.db
555,L11a103,1,84,82,0.1274119913380841,11,link_research.db
556,L11a179,1,86,84,0.27340159774523093,11,link_research.db
557,L11a81,1,82,80,0.3990439016823241,11,link_research.db
558,L11a166,1,88,86,0.24351996762630065,11,link_research.db
559,L11a124,1,88,86,0.25847248112692506,11,link_research.db
560,L11a194,1,92,90,0.23798230652716365,11,link_research.db
561,L11a108,1,90,88,0.26431201444509095,11,link_research.db
562,L11a122,1,88,86,0.2699514808026479,11,link_research.db
563,L11a105,1,84,82,0.30521396990524324,11,link_research.db
564,L11a200,1,96,94,0.19531916825455944,11,link_research.db
