id,name,marked_complete,stored_blocks,positive_blocks,observed_min,crossings,database
1376,14ah_10611,1,132,130,0.28058038646357286,14,knot_research_14.db
1377,14ah_11559,1,138,136,0.21666839010156197,14,knot_research_14.db
1378,14ah_05194,1,127,125,0.2316524710469793,14,knot_research_14.db
1379,14ah_00582,1,137,135,0.10240034318762357,14,knot_research_14.db
1380,14nh_13544,1,125,124,0.13600286988330107,14,knot_research_14.db
1381,14ah_05120,1,128,126,0.19398420364349378,14,knot_research_14.db
1382,14ah_16273,1,128,126,0.2552994122940073,14,knot_research_14.db
1383,14nh_10062,1,123,122,0.019721021539124334,14,knot_research_14.db
1384,14ah_01814,1,134,132,0.10956901638531855,14,knot_research_14.db
1385,14nh_23510,1,129,128,0.1065413125830554,14,knot_research_14.db
1386,14ah_06130,1,133,131,0.22985228601756125,14,knot_research_14.db
1387,14nh_03229,1,133,132,0.08557646367555982,14,knot_research_14.db
1388,14ah_01698,1,136,134,0.13639951324992855,14,knot_research_14.db
1389,14ah_10565,1,131,129,0.19460195670286068,14,knot_research_14.db
1390,14nh_13742,1,131,130,0.033847054611272576,14,knot_research_14.db
1391,14nh_22535,1,136,135,0.11761981449164856,14,knot_research_14.db
1392,14ah_03196,1,138,136,0.13555316380882695,14,knot_research_14.db
1393,14ah_12364,1,132,130,0.2185740957862397,14,knot_research_14.db
1394,14nh_17982,1,117,116,0.031829842278062105,14,knot_research_14.db
1395,14ah_17102,1,128,126,0.31524038602829235,14,knot_research_14.db
1396,14nh_12231,1,126,125,0.012540626204312011,14,knot_research_14.db
1397,14nh_11316,1,126,124,0.006279238180794131,14,knot_research_14.db
1398,14nh_09924,1,136,135,0.18031923677265072,14,knot_research_14.db
1399,14nh_17064,1,122,121,0.0551732841711874,14,knot_research_14.db
1400,14ah_04961,1,134,132,0.17159918994004747,14,knot_research_14.db
1401,14nh_01224,1,124,123,0.012646934353419964,14,knot_research_14.db
1402,14nh_17883,1,121,120,0.11045499548979648,14,knot_research_14.db
1403,14nh_03177,1,126,126,0.0809880239025032,14,knot_research_14.db
1404,14nh_15172,1,119,118,0.03952014837258559,14,knot_research_14.db
1405,14ah_15864,1,130,128,0.24679738031075776,14,knot_research_14.db
1406,14ah_02928,1,128,126,0.18539362552933522,14,knot_research_14.db
1407,14nh_02543,1,121,120,0.016226187486343076,14,knot_research_14.db
1408,14nh_08027,1,126,125,0.183080947112701,14,knot_research_14.db
1409,14nh_19752,1,127,126,0.15802300661186985,14,knot_research_14.db
1410,14nh_19403,1,122,121,0.10993385450092451,14,knot_research_14.db
1411,14nh_00445,1,125,124,0.04669074054592584,14,knot_research_14.db
1412,14nh_01840,1,140,138,0.01055973153594741,14,knot_research_14.db
1413,14ah_15218,1,129,127,0.26765860262603797,14,knot_research_14.db
1414,14ah_07548,1,130,128,0.19739504624727144,14,knot_research_14.db
1415,14ah_11232,1,132,130,0.24231546478368204,14,knot_research_14.db
1416,14ah_05468,1,130,128,0.20119176634041142,14,knot_research_14.db
1417,14nh_11133,1,122,122,0.22320183359645762,14,knot_research_14.db
1418,14nh_07737,1,120,118,0.009382816679622487,14,knot_research_14.db
1419,14ah_12997,1,135,133,0.2679304004609949,14,knot_research_14.db
1420,14ah_10274,1,131,129,0.2316672823262015,14,knot_research_14.db
1421,14nh_00837,1,123,122,0.002286259406778435,14,knot_research_14.db
1422,14ah_04371,1,135,133,0.23041248676104115,14,knot_research_14.db
1423,14ah_08217,1,137,135,0.20701956965248913,14,knot_research_14.db
1424,14nh_00202,1,129,128,0.01578326653828722,14,knot_research_14.db
1425,14ah_14020,1,130,128,0.30305815022947535,14,knot_research_14.db
1426,14nh_11257,1,135,134,0.1910264581858243,14,knot_research_14.db
1427,14nh_04559,1,126,125,0.006592886741799175,14,knot_research_14.db
1428,14nh_25409,1,130,129,0.19676469535928862,14,knot_research_14.db
1429,14nh_12158,1,127,126,0.009363357302501206,14,knot_research_14.db
1430,14ah_14254,1,135,133,0.2641787401885252,14,knot_research_14.db
1431,14ah_02875,1,124,122,0.2765967474460237,14,knot_research_14.db
1432,14ah_09886,1,133,131,0.22669520545345098,14,knot_research_14.db
1433,14nh_08593,1,121,120,0.10753201957802426,14,knot_research_14.db
1434,14nh_16219,1,133,132,0.06102539064165428,14,knot_research_14.db
1435,14nh_02087,1,117,116,0.05729383557736686,14,knot_research_14.db
