name,knot_sig,dt_code
14nh_00064,oabcdefghbijklmnaijkcdeflmghnRQLkd-hp+p,gLHImJnKCDFABe
14nh_00065,oabcdbefghijklcdmnaefkjihglmnlvtvf----p,fikjlnHMadcbGe
14nh_00066,oabcdefghijkalmnefkjihgbcdlmnRkTQe----p,ihKNMLJabFGCED
14nh_00067,oabcdefghbijklaimngfedchlknmjRAPkd-37-p,hGKJInBmLDCEAf
14nh_00068,oabcdbefghijklmeanfijmcdlkhgnRkZkdbGzGj,gJLHmKaIDNFBeC
14nh_00069,oabcdbefcdghijklmnaefghijklmnRsvwfF+-8p,fIklmnHJAGbcde
14nh_00070,oabcdbefghcdijklmnhgfeamlkjinlnvvfHN--p,dkjlFInmEcbahg
14nh_00071,oabcdbefghcdijklmnaefghijklmnlnvvf----p,fijlmnHKabGcde
14nh_00072,oabcdbefcdghijkihlmnaefkjglmnltvvf-pZ-p,ehkmnGIaFclbjd
14nh_00073,oabcdbefghijaefghiklmncdnmlkjRAQQcFWG-p,iLMHGJEDnKFABC
14nh_00074,oabcdefghbijklmnaijkcfedlmghnRQLkd-hp+p,gLHImJnKDCFABe
14nh_00075,oabcdbefghigaejklmhinjcdklmnfll1mf----p,iegMhJbclKFaND
14nh_00076,oabcdefbghcdefijklmnaghilkjmnRSuvf----p,eimlnHJKaFGbcd
14nh_00077,oabcdbefghijkdclfmnghijkleanmRQAQen-p-c,bjDHNKLMCEaFGI
14nh_00078,oabcdecbfghijklmanmdelkjihgfnRQwQc--B-p,gnIMLKaJBHFEDC
14nh_00079,oabcdefgahijcdklemnbhijklfmngBPKAdVJ3Xp,kGLhmJABdEnFCi
14nh_00080,oabcdefbghcdijefklhgamnkjilnmRmtvfbM5-p,edkmaHJLnFcGbi
14nh_00081,oabcdefbghijklaghimncflkednmjRAPYc-XJ-p,hLGInJCmKFDABe
14nh_00082,oabcdefbghijcfkledmihnagjmlknR0mvf----p,diknGLJamEcFbh
14nh_00083,oabcdefgaheijbhfiklmndcnmlkjgB1KQcVNhmm,kmJabIHLFEnCGd
14nh_00084,oabcdefbghcdefijklhgamnkjilnmRSuvfbg+-p,edlmaHJKnFGcbi
14nh_00085,oabcdbefghijakflmncdjglmhinekRuRmd----p,iLFJnBmCaKDHeg
14nh_00086,oabcdbefcdghijklaefmnghijnmklltvvf----p,gjelmbnIKaHcdf
14nh_00087,oabcdbefghaijklmnehgfncdmlkjilvvnfH--Np,jihfnmKcbaLGde
14nh_00088,oabcdefbghcdijefklmnaghmlijknRmtvf----p,eimknHJLaFcGdb
14nh_00089,oabcdefghijbklmnakcdefghlmijnRQLkd-FV-p,gHIJmKnLBCDFAe
14nh_00090,oabcdbefcdghijklfeamnihglkjnmlRvjfHb-Jp,feKmlaHJnGCBdi
14nh_00091,oabcdefbghijklagmncflkedjinmhRwPmd-97-p,hGInJmBlKECAfd
14nh_00092,oabcdbefghijklmnaefghijmlkcdnRQMQcFamao,gJKLMHnIFABCED
14nh_00093,oabcdbefghijcdkljimnhgfeaklmnRQmlfbaMHp,cjlEINMKDaHbGF
14nh_00094,oabcdbefghaefijklmngcdhlmnkjiRMvsfFm-+p,jMighKndcbLFAE
14nh_00095,oabcdbefghijklmnaefghijkcdlmnRQLQeFapGp,gJKLHmnIEABCDf
14nh_00096,oabcdecfghijfklgjbedmnhiamklnRzMmdN-F+p,cImKLDjNfBhEaG
14nh_00097,oabcdefghbcdijefklghmnaijklmnRkZuf----p,djlnHIKMEaFbGc
14nh_00098,oabcdefbghijcdefklmnhgakjinmlR0svfbE4-p,dimlGJKnbEFach
14nh_00099,oabcdbefghijakfghlmncdjinmlekRsRYc----p,iLMGJnDCaKEHBf
14nh_00100,oabcdbefcdghijklmnaefmlghijknltvvf----p,fimklnHJaGcdeb
14nh_00101,oabcdefgcbhijklmanmdefglkjihnRQwQc--B-p,gnIJMLaKBCHFED
14nh_00102,oabcdbefghijklaefmhncdlkjingmlt1sd----p,hkLInmCbJDaGfe
14nh_00103,oabcdefbghijklmnaghicdlkjmefnRALsd-Xp+p,gKHmlInJCFABde
14nh_00104,oabcdefgahifjdcbhklmgjeinlmnkRPAjfpkxqi,kHGLAinMjfeDCB
14nh_00105,oabcdbefghijklcdlemnfghijkamnRvkvf-a-bo,bkDIJlmnCHaefg
14nh_00106,oabcdbefghijaefklmhncdjingmlklt1Ye----p,ilhMJnDcbKEaGf
14nh_00107,oabcdbefghijcdklmnaefghijklmnl1uvf----p,fijkmnHLabcGde
14nh_00108,oabcdbefghfiaejklghjmncdnmkliRAMQeFWm+p,iDhMGJEbnKFACL
14nh_00109,oabcdbefcdghijhgklaefmnijnmklltvvf----p,fidlbnHJaGmcke
14nh_00110,oabcdefbghijklaghmjncdeflknimRm1kd----p,hlMIJnCbKDEaGf
14nh_00111,oabcdbefcdghijklmnfeamlkjihgnRs1ufb4F+p,elkjmGINFdcbaH
14nh_00112,oabcdecfgbhijklmankdejihnlfgmRQvkd--E-p,gmILaJnKBHFDCe
14nh_00113,oabcdecfgbhijklmahinmgfdelkjnRQMPc-KlXp,gLnJIMbKDHCAFE
14nh_00114,oabcdbefghijkealmnfkcdlmjihgnRQ0YcbaEyi,heKIaMLbJDNGFC
14nh_00115,oabcdbefghcdijklmnfeaihgjklmnRk1mfbGFMp,eIklmGJNBFacdH
14nh_00116,oabcdbefcdghaijklmnefghnmlkjiRsvwfF+-8p,ihgfLncbaKMDJe
14nh_00117,oabcdbefghaeijfgklmnjicdnmlkhRMQQcFm45p,jFMIHBKEDnLGAC
14nh_00118,oabcdefdghijklcfeblkjimnamhgnRQQsdpbs4j,cGnKFJBMLDEIHa
14nh_00119,oabcdbefcdghijaefgklmnlihknmjlt1Ac-pFgo,hkFGCmDnJLaIbe
14nh_00120,oabcdbefcdghaijkhglmnjieflmnkltwzf-NN-p,iEnghAldbKMfJc
14nh_00121,oabcdbefghijcdklamnefghijklnml1uvf----p,gfjklnaIMbcdHe
14nh_00122,oabcdbefghijaefghklmnicdjlmnklvvnf----p,ilmghJndcKFabe
14nh_00123,oabcdefghijkalcmnbldefghijmnkRAQQchWEao,iJHAKLMBnCDEFG
14nh_00124,oabcdbefgdchfiajklmniehgnmlkjRQvjfTT+Lp,hgfnMcbaJLDEIK
14nh_00125,oabcdbefghijcdjklmniaeklmnfghlTQSe----p,eLMhiGKadNFJBC
14nh_00126,oabcdefghijbklmnakchgfedlmijnRQLkd-FV-p,gHJImKnLDCBFAe
14nh_00127,oabcdbefghijcdklfghimkanlmjenRLuvd-Wh+p,dkIaFJClmEnghb
14nh_00128,oabcdbefcdghijklaefmnghijklnmltvvf----p,gjflmnbIKaHcde
14nh_00129,oabcdefdghijklmbcnhgnijklmafetvzvfphSbc,bdIeaklmnCfjgh
14nh_00130,oabcdbefghijklmnaelkjmcdnihgfRLMkfFpm4p,gMLHnkjIDAfeBC
14nh_00131,oabcdecbfghijklmanmdelkjihgfnRuvwf-bydi,gnImlkaJBHfedc
14nh_00132,oabcdbefghijklaemnhijkcdlgnmflvvnf--N-j,hglmInbkJEafcd
14nh_00133,oabcdefghiejklahgmldcbifnkjnmBMzYcVhE-m,hKnIlGMbDCeAjF
14nh_00134,oabcdbefghijklmihgfeanjklmcdnRQQScbaagi,eJKFaGDNMLBCIH
14nh_00135,oabcdbefghijaefgklcdjmnilkhnmlvT0e---Zd,ilGJnhCmeKDabf
14nh_00136,oabcdefbcdghefijklmnaihgjklmnRYuvfby+-p,ejlmnHIKFbGacd
14nh_00137,oabcdbefghijkdclhmnileakjnmgflvMvgTaZmd,diLgFJncmaEhBk
14nh_00138,oabcdefbghijklamhncflkedjingmRsTmd----p,hLInJmBaKECGfd
14nh_00139,oabcdbefghijklcdlemnfghijkamnRQkRe----p,bkDIJLMNCHaEFG
14nh_00140,oabcdeafghedijklhmnglkjicbfnmtvv1eNhiHd,lgnihbkedMafJc
14nh_00141,oabcdbefghijklmnaefgcdhijklmnRwLsfF8p+p,gJHklmnICABdef
14nh_00142,oabcdbefghijklfeamnghijklncdmRQYQcbayai,gEKLMHaIFNBCDJ
14nh_00143,oabcdefbghijcdefklmnhgakjilmnR0svfbE4-p,dilmGJKnbEFach
14nh_00144,oabcdefbghcfijkledlimnaghkjmnRSPuf-Fy+m,dhjnGLIaEMbFKc
14nh_00145,oabcdbefaghijkleflkjihmncdnmgRSQQcbgaai,kGFENCBJLHaMID
14nh_00146,oabcdbefghcdijhgklmnfeaijklmnlltvfHH5-p,djlmFInKEaHbcg
14nh_00147,oabcdbefghijklmihgfeanjmlkcdnRQQScbaagi,eJKFaGDNMLCBIH
14nh_00148,oabcdbefcdghijkiaefglmnkjnmlhltvvf-F7Xi,gjfemclIKaHbnd
14nh_00149,oabcdbefcdghijhklmaefnjimlkgnlJwnf-xIhi,fiLnmbHJaGeCKd
14nh_00150,oabcdbefcdghijklmnagfehinmlkjRsvtfb4-5p,fIknmlHJBGaced
14nh_00151,oabcdeafghijklmnedhgcbfijklmnltTsf-5F+p,lGijkNBMacdeHF
14nh_00152,oabcdefghijfekljgbcdmnihamklnBtMmd-WZNp,cImKLhNjeBfDaG
14nh_00153,oabcdbefcdghijklfeamnihglkjnmltvvfH5--p,fekmlaHJnGcbdi
14nh_00154,oabcdbefcdghijklfeamnihglkjnmlRsPgHb4dm,feKMLaHJnGCBDi
14nh_00155,oabcdefbghcdefijklaghmnijklnmRSuvf----p,fjemnbIKLaGHcd
14nh_00156,oabcdefbghcfijedklmnaijklmhgnRktvdbG5-j,ekmInHLJDFaGbc
14nh_00157,oabcdefghbifeijklmnjgdchanmlkRPuzfpmdTa,ckjGMHnIElbafD
14nh_00158,oabcdbefghijcdklmnaefghijklmnRQuQfFG-ap,fIJKmnHLABCGde
14nh_00159,oabcdbefghcdijkgfkjlmnaehilmnlnvvf--m-p,dhmnFIakEblgjc
14nh_00160,oabcdefghdijehklcblkmnjiamgfnZmRmdFMzMj,cFmKgBiNeLDJaH
14nh_00161,oabcdbefcdghijklfeamngjihklnmltvvfH5--p,felkmaHJnGbcdi
14nh_00162,oabcdbefcdghijklmnhgfeamlijknltvvfH5--p,dkjlFHnEmbcaig
14nh_00163,oabcdbefghijcdklmnakjihgfenmlRQuReba+bo,fKJInmHLDCBGae
14nh_00164,oabcdbefghcdijhgkljiamnklnfemRktvd----p,ecmHaGJDLFnIbk
14nh_00165,oabcdbefghidcjfklmngjeaihnmlkRMwsfnZdla,dhlkFINMaEGcbJ
14nh_00166,oabcdefghiajklcmnbjkldefghmniRMQQchmEao,jEKIABLMCnDFGH
14nh_00167,oabcdecfgdehijkgfbhilmanmkjlnxLMugdWWzi,dnJaLhekfMBgIc
14nh_00168,oabcdefghijkalmjihgfemlncbndkBvvLc3-8Jj,iemlkaJFnGHdcb
14nh_00169,oabcdecfghijedkgalmnhkfbjilmnxktReBH5zo,gfKJLabDmhNEiC
14nh_00170,oabcdbefghijaefkhlmncdnmjilgkltTkd----p,ilMFJDnCbKEaHg
14nh_00171,oabcdbefghijklcdmnjklihgfeamnRQYQebayao,bjDINMLKCaGHFE
14nh_00172,oabcdefbghcdijefklmnhgakjilmnRkttfbG55p,djlmGIKNEbFacH
14nh_00173,oabcdbefghijklmgfeanlkjihmcdnRQkRcbaGbi,fLKJGaHENMCBDI
14nh_00174,oabcdbefghijkdclhmnilgfeakjnmRAAkfnmpJa,chkEINMLaDGbJF
14nh_00175,oabcdbefghijklamjncdlknihgfemRkTSc----p,hMInBLKaJCGFEd
14nh_00176,oabcdbefghijcdklmifnaejklmhgnl1uvf-5--j,ejlinGKadmFbch
14nh_00177,oabcdefghijkgfedcbkhlmnjilanmRQQKf-TFYd,blJIHKMEDCGnaF
14nh_00178,oabcdbefghcdijklmnaefghijklmnRkvAfF4-Wp,fIJlmnHKABGcde
14nh_00179,oabcdbefghijklcdjihgmnfkleamnRQQSebaago,blDINKJMCGFaEH
14nh_00180,oabcdbefghijklaefghkjimncdnmlRQPQcFad4p,hKLMGIEnJFABDC
14nh_00181,oabcdbefgdchijfklmnghijeanmlkRQwkfn-dVa,ckjEGNLDMFbaHI
14nh_00182,oabcdefbghijklamnghijkcfedlnmRQLQe-bp4p,hgLMIJnaKFEBCD
14nh_00183,oabcdefghiajklmnihgbjkcdlmefnRLvkd-ih5p,jFhnmAKbLcEGId
14nh_00184,oabcdbefghijklaemncdlknmjihgfRvPmfF-7-p,hEInBmlkJCAgfd
14nh_00185,oabcdbefghcdijklmnfeaihgnmlkjlRvjfHb-Jp,eImlkGJnBFAdch
14nh_00186,oabcdbefghijklmnaefghicdjklmnRALkfFWp4p,gJKHlmnIDABCef
14nh_00187,oabcdecbfghdeijklmihafnjklmngRMQPc-1-6p,eDLMiHJFAnGBCK
14nh_00188,oabcdeafcdghijhklmebfnjimlkgnBIkUgVwELl,lMkICJnADFEhGB
14nh_00189,oabcdefghijkihgfalkjmnedcbnmlRQYQcFy45j,gLFIHCaEDNMBKJ
14nh_00190,oabcdefgahijcklbhmndefklgnjimRPAkdh734p,kJLHAiMCnBeDFG
14nh_00191,oabcdbefghijklfmnghijdckleanmRQMQen-Z-c,biDLNJKMEaFGCH
14nh_00192,oabcdefghbcdijefklmnaijklmghnRktvd----p,ekmHnIJLDFaGbc
14nh_00193,oabcdefghbijefklmnaicdjkghnmlBAvYepx++p,fGkInmJBlDAhce
14nh_00194,oabcdefbghijklagmncdeflknmjihRwPYe-97-p,hFIJnBmlKCDAge
14nh_00195,oabcdbefghijaefklmhncdjingklmlt1Ye----p,ilhMJnDbcKEaGf
14nh_00196,oabcdbefghcdijklhgmnaijklmfenRmvvdbM--j,eklHnGJDmFabic
14nh_00197,oabcdbefgdchfijklmngheajklmnilzvvfTmama,dkljFHnmEgabci
14nh_00198,oabcdbefcdghijklmnaghijklmfenRsvvdb4--j,fklmInHJEGabcd
14nh_00199,oabcdefbghcdijefklhgmnakjilmnRkZufbGz+p,djlnGIKMEbFaHc
14nh_00200,oabcdbefcdghijklaefgmnhkjinmlltvvf----p,gjflmcnIKaHbed
14nh_00201,oabcdefdcbghijklmnakjihglmefnRQAQc-hWao,fLKMHnJIEGCBAD
14nh_00202,oabcdeafghedijhklmngjicbfnmlktvvnfNhc5a,lgnhbkjdMafeIc
14nh_00203,oabcdbefghijklmeanfklmcdjihgnRQYQcbayai,gJMHLKaIDNFEBC
14nh_00204,oabcdbefaghijklmnefjklmnihcdglvvvdH---j,kifghncdbLaMJe
14nh_00205,oabcdefghbijklaijmlhgncdefnkmRsvQg-CE8l,hmnKIJDbLEFCag
14nh_00206,oabcdefghicbjklmanmdefghilkjnRkvQf-Fy-i,gnIJKmaLBCDHfe
14nh_00207,oabcdefbghcdijklamnijkeflnhgmRkvnd----p,gemInKaJLDFHbc
14nh_00208,oabcdecfgbhijklmahijklngfdenmRQMQc-emip,gLMFJInKEHDABC
14nh_00209,oabcdbefcdghijklmnlkjihgaefmnltvvf----p,cfkEGaDnmlbjih
14nh_00210,oabcdbefghijklhgcdlkmnfeamjinRQQmdbggMj,cHmEKNJBLGDIaF
14nh_00211,oabcdefgahifjkldmihncbnmejklglvzQf-teMi,keijHaLFMcnGDb
14nh_00212,oabcdbefghijaklmfghijncdneklmRkTQe----p,ihLMNJEabKFGCD
14nh_00213,oabcdbefghijaefkhijlmncdnmlgkllTQc----p,ilMNGJEDbKFaHC
14nh_00214,oabcdefgahijcdklefmngbhijklmnRPmPf-I-fp,kHLiMjnABdfGCE
14nh_00215,oabcdefghiejklgfjbcdmnlkamihnBZKmdVb2Nj,cGmKLjBeNfhDaI
14nh_00216,oabcdbefghijklmeanfmlkcdjihgnRQYQcbayai,gJMHLKaIDNFECB
14nh_00217,oabcdefgahijgfkljimnlkedcbnmhlnRQcFgg+j,kEnGBJDMLFaIHc
14nh_00218,oabcdbefghidcjklfmnghijkleanmRQAQen-p-c,bjDGNKLCMEaFHI
14nh_00219,oabcdecfghijkdelmnagjmlkfbnihxMzQe9mZao,fKMInjDlgAeChB
14nh_00220,oabcdefbghedijkgalmnhijkcfnmlRSwPebg8do,gfkMHbaJLEnICD
14nh_00221,oabcdefbghijkgaljimnhkedcflmnRQmRebaMbo,hMgLJIacKEFNBD
14nh_00222,oabcdbefghijklaefgmncdlknmjihRwPYeF8J-p,hKFInCmlJDABge
14nh_00223,oabcdefbghcdefijklmnaghijklmnRQuzf-5-Zp,eIlmnHJKAFGbcd
